id;userId;buttonType;buttonData;timestamp
133;7606207943;"main_menu_button";"📋 Инструкция";"2025-04-09 15:19:22"
134;7606207943;"main_menu_button";"📖 Сонник";"2025-04-09 15:19:24"
135;7606207943;"main_menu_button";"📋 Инструкция";"2025-04-09 16:44:51"
136;7606207943;"main_menu_button";"📋 Инструкция";"2025-04-09 16:45:06"
137;7606207943;"main_menu_button";"📋 Инструкция";"2025-04-09 16:45:34"
138;7606207943;"main_menu_button";"📋 Инструкция";"2025-04-09 16:45:42"
139;7606207943;"main_menu_button";"📋 Инструкция";"2025-04-09 16:46:03"
140;7606207943;"main_menu_button";"📋 Инструкция";"2025-04-09 16:47:03"
141;7606207943;"main_menu_button";"📋 Инструкция";"2025-04-09 16:47:07"
142;7606207943;"main_menu_button";"📋 Инструкция";"2025-04-09 16:47:22"
143;7606207943;"main_menu_button";"📋 Инструкция";"2025-04-09 16:48:10"
144;7606207943;"main_menu_button";"📋 Инструкция";"2025-04-09 16:48:10"
145;7606207943;"main_menu_button";"📋 Инструкция";"2025-04-09 16:48:10"
146;7606207943;"main_menu_button";"📋 Инструкция";"2025-04-09 16:51:32"
147;7606207943;"main_menu_button";"📋 Инструкция";"2025-04-09 16:51:56"
148;7606207943;"main_menu_button";"📋 Инструкция";"2025-04-09 16:53:30"
149;7606207943;"main_menu_button";"📋 Инструкция";"2025-04-09 16:53:30"
150;7606207943;"main_menu_button";"📋 Инструкция";"2025-04-09 16:53:33"
151;7606207943;"main_menu_button";"🔮 Гадания";"2025-04-09 17:43:08"
152;7606207943;"fortune_button";"✨ Гадание Да/Нет";"2025-04-09 17:43:10"
153;7606207943;"fortune_action";"✨ Гадание Да/Нет";"2025-04-09 17:43:16"
154;7606207943;"share_action";"📤 Поделиться гаданием Да/Нет";"2025-04-09 17:43:19"
155;7606207943;"main_menu_button";"🔮 Гадания";"2025-04-09 17:46:30"
156;7606207943;"fortune_button";"✨ Гадание Да/Нет";"2025-04-09 17:46:32"
157;7606207943;"fortune_action";"✨ Гадание Да/Нет";"2025-04-09 17:46:34"
158;7606207943;"share_action";"📤 Поделиться гаданием Да/Нет";"2025-04-09 17:46:35"
159;7606207943;"main_menu_button";"🔮 Гадания";"2025-04-09 17:46:37"
160;7606207943;"fortune_button";"🎧 Морфей говорит (главное меню)";"2025-04-09 17:46:39"
161;7606207943;"main_menu_button";"📋 Инструкция";"2025-04-09 17:46:43"
162;7606207943;"main_menu_button";"🔮 Гадания";"2025-04-10 13:46:29"
163;7606207943;"main_menu_button";"📋 Инструкция";"2025-04-10 14:23:28"
164;7606207943;"main_menu_button";"🔮 Гадания";"2025-04-10 14:23:29"
165;7606207943;"fortune_button";"✨ Гадание Да/Нет";"2025-04-10 14:23:29"
166;7606207943;"fortune_button";"🎧 Морфей говорит (главное меню)";"2025-04-10 14:23:30"
167;7606207943;"main_menu_button";"📋 Инструкция";"2025-04-10 15:57:26"
168;7606207943;"main_menu_button";"🔮 Гадания";"2025-04-10 15:57:27"
169;7606207943;"main_menu_button";"📋 Инструкция";"2025-04-10 16:05:52"
170;7606207943;"main_menu_button";"🔮 Гадания";"2025-04-10 16:05:52"
171;7606207943;"main_menu_button";"🔮 Гадания";"2025-04-10 16:10:08"
172;7606207943;"main_menu_button";"📋 Инструкция";"2025-04-10 16:22:48"
173;7606207943;"main_menu_button";"🔮 Гадания";"2025-04-10 16:23:05"
174;7606207943;"fortune_button";"🎧 Морфей говорит (главное меню)";"2025-04-10 16:23:17"
175;7606207943;"main_menu_button";"📖 Сонник";"2025-04-10 16:23:22"
176;7606207943;"main_menu_button";"🔮 Гадания";"2025-04-10 16:23:24"
177;7606207943;"fortune_button";"✨ Гадание Да/Нет";"2025-04-10 16:23:26"
178;7606207943;"main_menu_button";"📋 Инструкция";"2025-04-10 16:24:11"
179;7606207943;"main_menu_button";"📋 Инструкция";"2025-04-10 16:29:30"
180;7606207943;"main_menu_button";"🔮 Гадания";"2025-04-10 16:30:11"
181;7606207943;"fortune_button";"✨ Гадание Да/Нет";"2025-04-10 16:30:14"
182;7606207943;"fortune_button";"🎧 Морфей говорит (главное меню)";"2025-04-10 16:30:15"
183;7606207943;"fortune_button";"✨ Гадание Да/Нет";"2025-04-10 16:30:17"
184;7606207943;"fortune_button";"🎧 Морфей говорит (главное меню)";"2025-04-10 16:30:18"
185;7606207943;"fortune_button";"✨ Гадание Да/Нет";"2025-04-10 16:30:24"
186;7606207943;"main_menu_button";"🔮 Гадания";"2025-04-10 16:30:32"
187;7606207943;"fortune_button";"🎧 Морфей говорит (главное меню)";"2025-04-10 16:32:28"
188;7606207943;"main_menu_button";"📋 Инструкция";"2025-04-10 16:38:22"
189;7606207943;"main_menu_button";"🔮 Гадания";"2025-04-10 16:38:24"
190;7606207943;"main_menu_button";"🔮 Гадания";"2025-04-10 16:38:34"
191;7606207943;"main_menu_button";"📋 Инструкция";"2025-04-10 16:39:05"
192;7606207943;"main_menu_button";"🔮 Гадания";"2025-04-10 16:42:43"
193;7606207943;"main_menu_button";"🔮 Гадания";"2025-04-10 16:43:51"
194;7606207943;"fortune_button";"🎧 Морфей говорит (главное меню)";"2025-04-10 16:43:52"
195;7606207943;"main_menu_button";"🔮 Гадания";"2025-04-10 16:49:00"
196;7606207943;"main_menu_button";"🔮 Гадания";"2025-04-10 16:49:17"
197;7606207943;"main_menu_button";"📋 Инструкция";"2025-04-10 18:33:40"
198;7606207943;"main_menu_button";"🔮 Гадания";"2025-04-10 18:33:41"
199;7606207943;"main_menu_button";"🔮 Гадания";"2025-04-10 18:47:37"
200;7606207943;"main_menu_button";"📋 Инструкция";"2025-04-10 18:52:04"
201;7606207943;"main_menu_button";"🔮 Гадания";"2025-04-10 18:52:08"
202;7606207943;"main_menu_button";"🔮 Гадания";"2025-04-10 18:52:26"
203;7606207943;"main_menu_button";"🔮 Гадания";"2025-04-10 18:56:38"
204;7606207943;"fortune_button";"🎧 Морфей говорит (главное меню)";"2025-04-10 18:57:11"
205;7606207943;"fortune_button";"✨ Гадание Да/Нет";"2025-04-10 18:57:14"
206;7606207943;"main_menu_button";"🔮 Гадания";"2025-04-10 18:58:33"
207;7606207943;"main_menu_button";"🔮 Гадания";"2025-04-10 19:04:33"
208;7606207943;"main_menu_button";"🔮 Гадания";"2025-04-10 19:06:02"
